Month,Flight distance,Contrail warming,Warming per flight distance ,Region
Feb,2.66,0.14,51.43,Tashkent FIR
Feb,39.94,3.97,99.39,Moscow FIR
Feb,4.83,0.29,59.46,Syktyvkar FIR
Feb,12.3,1.55,126.33,Samara FIR
Feb,67.51,0.04,0.52,Mumbai FIR
Feb,8.28,0.11,12.86,Colombo FIR
Feb,4.9,-0.0,-0.0,Phnom Penh FIR
Feb,37.99,0.04,1.17,Kolkata FIR
Feb,4.05,0.0,0.54,Dhaka FIR
Feb,27.91,0.0,0.0,Hong Kong FIR
Feb,26.2,0.06,2.16,Delhi FIR
Feb,9.04,0.01,0.71,Vientiane FIR
Feb,1.11,0.0,3.87,Kathmandu FIR
Feb,55.36,0.07,1.19,Chennai FIR
Feb,1.26,0.01,4.32,Male FIR
Feb,43.71,0.02,0.51,Bangkok FIR
Feb,35.16,0.08,2.18,Ho Chi Minh FIR
Feb,12.77,0.0,0.38,Hanoi FIR
Feb,16.73,0.0,0.14,Yangon FIR
Feb,36.23,0.72,19.99,U-Jung Pandang FIR
Feb,7.33,0.05,6.21,Kota Kinabalu FIR
Feb,39.3,0.42,10.57,Jakarta FIR
Feb,25.27,0.11,4.44,Kuala Lumpur FIR
Feb,24.24,0.2,8.26,Singapore FIR
Feb,52.39,0.18,3.43,Brisbane FIR
Feb,66.04,0.12,1.76,Melbourne FIR
Feb,39.5,0.42,10.61,Beijing FIR
Feb,103.56,0.13,1.24,Guangzhou FIR
Feb,48.93,0.28,5.65,Wuhan FIR
Feb,15.96,0.0,0.0,Sanya FIR
Feb,2.11,0.01,4.36,Pyongyang FIR
Feb,23.6,0.35,14.87,Lanzhou FIR
Feb,12.77,0.11,8.26,Ulaanbaatar FIR
Feb,53.06,0.12,2.34,Kunming FIR
Feb,133.96,0.5,3.72,Shanghai FIR
Feb,8.13,0.18,22.43,Urumqi FIR
Feb,23.15,0.19,8.28,Shenyang FIR
Mar,913.08,19.06,20.88,European Airspace
Mar,200.69,7.85,39.13,North Atlantic
Mar,614.15,11.97,19.49,Continental Europe
Mar,4994.48,64.2,12.85,Global
Mar,1281.49,14.42,11.26,USA
Mar,725.18,1.48,2.04,East Asia
Mar,335.94,2.99,8.9,Southeast Asia
Mar,191.49,1.7,8.89,Latin America
Mar,518.34,2.74,5.29,Africa & Middle East
Mar,773.91,2.27,2.93,China
Mar,205.7,0.35,1.69,India
Mar,2155.66,46.64,21.64,North Pacific
Mar,28.05,0.74,26.36,Arctic
Mar,0.45,0.0,7.46,Honiara FIR
Mar,0.12,-0.0,-2.59,Nauru FIR
