Date,Departure airport,Number of big hits
2019-06-06,Frankfurt am Main Airport,27
2019-06-06,London Heathrow Airport,36
2019-06-07,Charles de Gaulle International Airport,12
2019-06-07,Frankfurt am Main Airport,13
2019-06-07,London Heathrow Airport,24
2019-06-08,Charles de Gaulle International Airport,21
2019-06-08,Frankfurt am Main Airport,18
2019-06-08,London Heathrow Airport,31
2019-06-09,Charles de Gaulle International Airport,38
2019-06-09,Frankfurt am Main Airport,31
2019-06-09,London Heathrow Airport,44
2019-06-10,Charles de Gaulle International Airport,33
2019-06-10,Frankfurt am Main Airport,33
2019-06-10,London Heathrow Airport,69
2019-06-11,Charles de Gaulle International Airport,45
2019-06-11,Frankfurt am Main Airport,53
2019-06-11,London Heathrow Airport,81
2019-06-12,Charles de Gaulle International Airport,18
2019-06-12,Frankfurt am Main Airport,24
2019-06-12,London Heathrow Airport,23
2019-06-13,Charles de Gaulle International Airport,30
2019-06-13,Frankfurt am Main Airport,18
2019-06-13,London Heathrow Airport,51
2019-06-14,Charles de Gaulle International Airport,14
2019-06-14,Frankfurt am Main Airport,20
2019-06-14,London Heathrow Airport,27
2019-06-15,Charles de Gaulle International Airport,14
2019-06-15,Frankfurt am Main Airport,21
2019-06-15,London Heathrow Airport,26
2019-06-16,Charles de Gaulle International Airport,29
2019-06-16,Frankfurt am Main Airport,18
2019-06-16,London Heathrow Airport,37
2019-06-17,Charles de Gaulle International Airport,33
2019-06-17,Frankfurt am Main Airport,42
2019-06-17,London Heathrow Airport,88
2019-06-18,Charles de Gaulle International Airport,28
2019-06-18,Frankfurt am Main Airport,29
2019-06-18,London Heathrow Airport,62
2019-06-19,Charles de Gaulle International Airport,50
2019-06-19,Frankfurt am Main Airport,47
2019-06-19,London Heathrow Airport,83
2019-06-20,Charles de Gaulle International Airport,24
2019-06-20,Frankfurt am Main Airport,38
2019-06-20,London Heathrow Airport,43
2019-06-21,Charles de Gaulle International Airport,43
2019-06-21,Frankfurt am Main Airport,40
2019-06-21,London Heathrow Airport,48
2019-06-22,Charles de Gaulle International Airport,34
2019-06-22,Frankfurt am Main Airport,58
2019-06-22,London Heathrow Airport,61
2019-06-23,Charles de Gaulle International Airport,50
2019-06-23,Frankfurt am Main Airport,38
2019-06-23,London Heathrow Airport,75
2019-06-24,Charles de Gaulle International Airport,44
2019-06-24,Frankfurt am Main Airport,34
2019-06-24,London Heathrow Airport,72
2019-06-25,Charles de Gaulle International Airport,24
2019-06-25,Frankfurt am Main Airport,36
2019-06-25,London Heathrow Airport,47
2019-06-26,Charles de Gaulle International Airport,20
2019-06-26,Frankfurt am Main Airport,22
2019-06-26,London Heathrow Airport,25
2019-06-27,Charles de Gaulle International Airport,17
2019-06-27,Frankfurt am Main Airport,21
2019-06-27,London Heathrow Airport,27
2019-06-28,Charles de Gaulle International Airport,13
2019-06-28,Frankfurt am Main Airport,11
2019-06-28,London Heathrow Airport,24
2019-06-29,Charles de Gaulle International Airport,17
2019-06-29,Frankfurt am Main Airport,27
2019-06-29,London Heathrow Airport,19
2019-06-30,Charles de Gaulle International Airport,21
2019-06-30,Frankfurt am Main Airport,17
2019-06-30,London Heathrow Airport,38
2019-07-01,Charles de Gaulle International Airport,11
2019-07-01,Frankfurt am Main Airport,22
2019-07-01,London Heathrow Airport,30
2019-07-02,Charles de Gaulle International Airport,29
2019-07-02,Frankfurt am Main Airport,8
2019-07-02,London Heathrow Airport,44
