week,region,+80th-percentile,+95th-percentile,Negative,Non-zero,Positive
7,Bucarest FIR,0.0227,0.0033,0.0148,0.0784,0.0637
7,Budapest FIR,0.0213,0.0027,0.0337,0.1032,0.0696
7,Canarias FIR,0.0028,0.001,0.0035,0.0085,0.005
7,Chisinau FIR,0.0552,0.0178,0.0252,0.1236,0.0984
7,Copenhagen FIR,0.0743,0.0082,0.0367,0.245,0.2083
7,Helsinki FIR,0.0232,0.0041,0.0204,0.1308,0.1104
7,Langen FIR,0.058,0.0104,0.0838,0.2628,0.1791
7,Lisboa FIR,0.0311,0.0037,0.0477,0.1522,0.1045
7,Ljubljana FIR,0.0182,0.0017,0.0592,0.1269,0.0677
7,London FIR,0.0775,0.01,0.0268,0.2204,0.1936
7,Madrid FIR,0.0283,0.0046,0.0597,0.1512,0.0914
7,Malta FIR,0.006,0.0005,0.0222,0.0475,0.0254
7,Marseille FIR,0.0468,0.0091,0.0604,0.184,0.1236
7,Milano FIR,0.0537,0.01,0.0721,0.1989,0.1268
7,Munchen FIR,0.0716,0.0154,0.0707,0.2552,0.1844
7,Paris FIR,0.071,0.0122,0.0678,0.2745,0.2066
7,Polaris FIR,0.0617,0.0109,0.0213,0.1966,0.1752
7,Praha FIR,0.0617,0.0104,0.0674,0.2442,0.1768
7,Reims FIR,0.0694,0.0167,0.0936,0.2812,0.1876
7,Reykjavik FIR,0.0453,0.0067,0.0168,0.1272,0.1105
7,Riga FIR,0.0878,0.0171,0.0164,0.2349,0.2185
7,Roma FIR,0.02,0.0022,0.0274,0.0793,0.0519
7,Santa Maria FIR,0.0228,0.0049,0.0292,0.0969,0.0678
7,Sarajevo FIR,0.0108,0.0015,0.0141,0.0486,0.0346
7,Scottish FIR,0.0383,0.0035,0.0151,0.1274,0.1123
7,Shannon FIR,0.0485,0.0063,0.0201,0.1613,0.1412
7,Skopje FIR,0.0051,0.0001,0.0054,0.0228,0.0174
7,Sofia FIR,0.0254,0.0053,0.0193,0.0981,0.0787
7,Sweden FIR,0.0579,0.0101,0.0289,0.1979,0.169
7,Switzerland FIR,0.071,0.0168,0.0925,0.2621,0.1696
7,Tallinn FIR,0.0521,0.005,0.0181,0.184,0.1659
7,Tirana FIR,0.0039,0.0004,0.007,0.0194,0.0123
7,Vilnius FIR,0.1079,0.0189,0.0233,0.25,0.2267
