name,entries,exits,mean_count,timestamp
SHANWICK FIR,5,3,1.8888888888888888,adsb_2024_03_01_02_00_00_3600
SIMFEROPOL' FIR,0,0,,adsb_2024_03_01_02_00_00_3600
SKOPJE FIR,8,6,2.0,adsb_2024_03_01_02_00_00_3600
SWEDEN FIR,14,5,3.8333333333333335,adsb_2024_03_01_02_00_00_3600
SWITZERLAND FIR,15,5,4.923076923076923,adsb_2024_03_01_02_00_00_3600
TALLINN FIR,15,9,3.923076923076923,adsb_2024_03_01_02_00_00_3600
TBILISI FIR,28,5,6.615384615384615,adsb_2024_03_01_02_00_00_3600
TEL AVIV FIR,8,1,1.6923076923076923,adsb_2024_03_01_02_00_00_3600
TIRANA FIR,4,3,1.75,adsb_2024_03_01_02_00_00_3600
VILNIUS FIR,5,5,1.75,adsb_2024_03_01_02_00_00_3600
WARSZAWA FIR,29,9,17.46153846153846,adsb_2024_03_01_02_00_00_3600
WIEN FIR,31,15,6.846153846153846,adsb_2024_03_01_02_00_00_3600
YEREVAN FIR,6,4,1.3636363636363635,adsb_2024_03_01_02_00_00_3600
ZAGREB FIR/UIR,11,8,2.4166666666666665,adsb_2024_03_01_02_00_00_3600
AMSTERDAM FIR,52,23,17.53846153846154,adsb_2024_03_01_03_00_00_3600
ANKARA FIR,143,64,50.30769230769231,adsb_2024_03_01_03_00_00_3600
ATHINAI FIR,75,40,34.92307692307692,adsb_2024_03_01_03_00_00_3600
BARCELONA FIR,14,3,5.538461538461538,adsb_2024_03_01_03_00_00_3600
BEOGRAD FIR,36,16,8.23076923076923,adsb_2024_03_01_03_00_00_3600
BODO OCEANIC FIR,0,0,,adsb_2024_03_01_03_00_00_3600
BORDEAUX FIR,15,7,5.615384615384615,adsb_2024_03_01_03_00_00_3600
BRATISLAVA FIR,21,15,5.153846153846154,adsb_2024_03_01_03_00_00_3600
BREMEN FIR,48,27,12.923076923076923,adsb_2024_03_01_03_00_00_3600
BREST FIR,12,3,4.454545454545454,adsb_2024_03_01_03_00_00_3600
BRINDISI FIR,19,14,5.3076923076923075,adsb_2024_03_01_03_00_00_3600
BRUSSELS FIR,52,32,14.846153846153847,adsb_2024_03_01_03_00_00_3600
BUCURESTI FIR,104,49,47.92307692307692,adsb_2024_03_01_03_00_00_3600
BUDAPEST FIR,60,32,17.153846153846153,adsb_2024_03_01_03_00_00_3600
CANARIAS FIR,7,2,3.4615384615384617,adsb_2024_03_01_03_00_00_3600
CHISINAU FIR,8,1,3.0,adsb_2024_03_01_03_00_00_3600
DNIPROPETROVSK FIR,0,0,,adsb_2024_03_01_03_00_00_3600
FINLAND FIR,21,3,9.0,adsb_2024_03_01_03_00_00_3600
FIR PRAHA,37,13,17.307692307692307,adsb_2024_03_01_03_00_00_3600
FIR SOFIA,116,67,48.07692307692308,adsb_2024_03_01_03_00_00_3600
ISTANBUL FIR,160,61,47.15384615384615,adsb_2024_03_01_03_00_00_3600
KOEBENHAVN FIR,34,13,15.615384615384615,adsb_2024_03_01_03_00_00_3600
KYIV FIR,0,0,,adsb_2024_03_01_03_00_00_3600
L'VIV FIR,0,0,,adsb_2024_03_01_03_00_00_3600
LANGEN FIR,123,52,43.15384615384615,adsb_2024_03_01_03_00_00_3600
LISBOA FIR,33,12,18.46153846153846,adsb_2024_03_01_03_00_00_3600
LJUBLJANA FIR,5,5,1.0,adsb_2024_03_01_03_00_00_3600
LONDON FIR,84,19,38.07692307692308,adsb_2024_03_01_03_00_00_3600
MADRID FIR,52,9,26.307692307692307,adsb_2024_03_01_03_00_00_3600
MALTA FIR,9,2,4.230769230769231,adsb_2024_03_01_03_00_00_3600
MARSEILLE FIR,37,22,14.846153846153847,adsb_2024_03_01_03_00_00_3600
MILANO FIR,35,12,11.692307692307692,adsb_2024_03_01_03_00_00_3600
MUNICH FIR,107,52,33.0,adsb_2024_03_01_03_00_00_3600
NICOSIA FIR,32,19,9.076923076923077,adsb_2024_03_01_03_00_00_3600
NORWAY FIR,12,1,5.181818181818182,adsb_2024_03_01_03_00_00_3600
ODESA FIR,0,0,,adsb_2024_03_01_03_00_00_3600
PARIS FIR,73,30,27.384615384615383,adsb_2024_03_01_03_00_00_3600
REIMS FIR,26,14,7.230769230769231,adsb_2024_03_01_03_00_00_3600
RIGA FIR,23,11,4.384615384615385,adsb_2024_03_01_03_00_00_3600
ROMA FIR,18,7,5.384615384615385,adsb_2024_03_01_03_00_00_3600
SANTA MARIA OCEANIC FIR,3,1,1.0,adsb_2024_03_01_03_00_00_3600
SARAJEVO FIR,9,7,2.230769230769231,adsb_2024_03_01_03_00_00_3600
SCOTTISH FIR,24,10,11.461538461538462,adsb_2024_03_01_03_00_00_3600
SHANNON FIR,34,19,13.153846153846153,adsb_2024_03_01_03_00_00_3600
SHANWICK FIR,23,13,4.6923076923076925,adsb_2024_03_01_03_00_00_3600
SIMFEROPOL' FIR,0,0,,adsb_2024_03_01_03_00_00_3600
SKOPJE FIR,12,9,2.1538461538461537,adsb_2024_03_01_03_00_00_3600
SWEDEN FIR,21,11,7.615384615384615,adsb_2024_03_01_03_00_00_3600
