date,fir_code,fir_name,big_hit_count
2019-01-09,UKLV,Lvov FIR,0
2019-01-09,UKOV,Odessa FIR,0
2019-01-09,ULLL,Sankt-Peterburg FIR,0
2019-01-09,UMKK,Kaliningrad FIR,0
2019-01-09,UMMV,Minsk FIR,0
2019-01-09,UNNT,Novosibirsk FIR,0
2019-01-09,URRV,Rostov-Na-Donu FIR,0
2019-01-09,USSV,Yekaterinburg FIR,1
2019-01-09,UUWV,Moscow FIR,3
2019-01-09,UWWW,Samara FIR,0
2019-01-10,BIRD,Reykjavik FIR,10
2019-01-10,EBBU,Brussels FIR,15
2019-01-10,EDGG,Langen FIR,81
2019-01-10,EDMM,Munchen FIR,21
2019-01-10,EDWW,Bremen FIR,3
2019-01-10,EETT,Tallinn FIR,1
2019-01-10,EFIN,Helsinki FIR,25
2019-01-10,EGPX,Scottish FIR,4
2019-01-10,EGTT,London FIR,148
2019-01-10,EHAA,Amsterdam FIR,58
2019-01-10,EISN,Shannon FIR,12
2019-01-10,EKDK,Copenhagen FIR,15
2019-01-10,ENOR,Polaris FIR,13
2019-01-10,EPWW,Warszawa FIR,8
2019-01-10,ESAA,Sweden FIR,16
2019-01-10,EVRR,Riga FIR,1
2019-01-10,EYVL,Vilnius FIR,1
2019-01-10,GCCC,Canarias FIR,2
2019-01-10,GMMM,Casablanca FIR,0
2019-01-10,LAAA,Tirana FIR,0
2019-01-10,LBSR,Sofia FIR,0
2019-01-10,LDZO,Zagreb FIR,1
2019-01-10,LECB,Barcelona FIR,3
2019-01-10,LECM,Madrid FIR,22
2019-01-10,LFBB,Bordeaux FIR,0
2019-01-10,LFEE,Reims FIR,0
2019-01-10,LFFF,Paris FIR,75
2019-01-10,LFMM,Marseille FIR,1
2019-01-10,LFRR,Brest FIR,0
2019-01-10,LGGG,Athinai FIR,1
2019-01-10,LHCC,Budapest FIR,0
2019-01-10,LIBB,Brindisi FIR,0
2019-01-10,LIMM,Milano FIR,11
2019-01-10,LIRR,Roma FIR,16
2019-01-10,LJLA,Ljubljana FIR,0
2019-01-10,LKAA,Praha FIR,0
2019-01-10,LMMM,Malta FIR,0
2019-01-10,LOVV,Wien FIR,7
2019-01-10,LPPC,Lisboa FIR,6
2019-01-10,LPPO,Santa Maria FIR,0
2019-01-10,LQSB,Sarajevo FIR,0
2019-01-10,LRBB,Bucarest FIR,1
2019-01-10,LSAS,Switzerland FIR,22
2019-01-10,LUUU,Chisinau FIR,0
2019-01-10,LWSS,Skopje FIR,0
2019-01-10,LYBA,Beograd FIR,0
2019-01-10,LZBB,Bratislava  FIR,0
2019-01-10,UKBV,Kiev FIR,1
2019-01-10,UKDV,Dnipro FIR,0
2019-01-10,UKLV,Lvov FIR,0
2019-01-10,UKOV,Odessa FIR,0
2019-01-10,ULLL,Sankt-Peterburg FIR,0
2019-01-10,UMMV,Minsk FIR,0
2019-01-10,UNNT,Novosibirsk FIR,1
